preset,activation_threshold,gate_temperature,target_activation_rate,refractory,tp,fp,fn,tn,fn_rate,fp_rate,precision,recall,f1,estimated_energy_savings_pct,activation_rate,total_inputs,activations
ecg_v1,0.55,0.15,0.1,0.0,409.0,2089.0,4744.0,42758.0,0.9206287599456627,0.04658059624947042,0.16373098478783027,0.07937124005433728,0.10691412887204288,,,50000.0,2498.0
ecg_v1,0.6,0.15,0.1,0.0,409.0,2089.0,4744.0,42758.0,0.9206287599456627,0.04658059624947042,0.16373098478783027,0.07937124005433728,0.10691412887204288,,,50000.0,2498.0
ecg_v1,0.65,0.15,0.1,0.0,409.0,2089.0,4744.0,42758.0,0.9206287599456627,0.04658059624947042,0.16373098478783027,0.07937124005433728,0.10691412887204288,,,50000.0,2498.0
ecg_v1,0.55,0.15,0.15,0.0,410.0,2163.0,4743.0,42684.0,0.9204346982340385,0.0482306508796575,0.15934706568208318,0.07956530176596158,0.10613512813875227,,,50000.0,2573.0
ecg_v1,0.6,0.15,0.15,0.0,410.0,2163.0,4743.0,42684.0,0.9204346982340385,0.0482306508796575,0.15934706568208318,0.07956530176596158,0.10613512813875227,,,50000.0,2573.0
ecg_v1,0.7,0.15,0.1,0.0,406.0,2092.0,4747.0,42755.0,0.9212109450805356,0.04664749035609963,0.16253002401921537,0.07878905491946439,0.10612991765782251,,,50000.0,2498.0
ecg_v1,0.65,0.15,0.15,0.0,409.0,2164.0,4744.0,42683.0,0.9206287599456627,0.04825294891520057,0.15895841430237076,0.07937124005433728,0.10587626197256018,,,50000.0,2573.0
ecg_v1,0.7,0.15,0.15,0.0,409.0,2164.0,4744.0,42683.0,0.9206287599456627,0.04825294891520057,0.15895841430237076,0.07937124005433728,0.10587626197256018,,,50000.0,2573.0
ecg_v1,0.7,0.15,0.12,0.0,403.0,2119.0,4750.0,42728.0,0.9217931302154085,0.04724953731576248,0.15979381443298968,0.0782068697845915,0.10501628664495113,,,50000.0,2522.0
ecg_v1,0.55,0.15,0.12,0.0,402.0,2120.0,4751.0,42727.0,0.9219871919270328,0.04727183535130555,0.15939730372720062,0.0780128080729672,0.1047557003257329,,,50000.0,2522.0
ecg_v1,0.6,0.15,0.12,0.0,402.0,2120.0,4751.0,42727.0,0.9219871919270328,0.04727183535130555,0.15939730372720062,0.0780128080729672,0.1047557003257329,,,50000.0,2522.0
ecg_v1,0.65,0.15,0.12,0.0,402.0,2120.0,4751.0,42727.0,0.9219871919270328,0.04727183535130555,0.15939730372720062,0.0780128080729672,0.1047557003257329,,,50000.0,2522.0
ecg_v1,0.55,0.05,0.15,0.0,383.0,1888.0,4770.0,42959.0,0.9256743644478944,0.04209869110531362,0.1686481726111845,0.07432563555210557,0.10317887931034485,,,50000.0,2271.0
ecg_v1,0.6,0.05,0.15,0.0,383.0,1888.0,4770.0,42959.0,0.9256743644478944,0.04209869110531362,0.1686481726111845,0.07432563555210557,0.10317887931034485,,,50000.0,2271.0
ecg_v1,0.65,0.05,0.15,0.0,383.0,1888.0,4770.0,42959.0,0.9256743644478944,0.04209869110531362,0.1686481726111845,0.07432563555210557,0.10317887931034485,,,50000.0,2271.0
ecg_v1,0.7,0.05,0.15,0.0,383.0,1888.0,4770.0,42959.0,0.9256743644478944,0.04209869110531362,0.1686481726111845,0.07432563555210557,0.10317887931034485,,,50000.0,2271.0
ecg_v1,0.55,0.05,0.12,0.0,361.0,1790.0,4792.0,43057.0,0.929943722103629,0.03991348362209289,0.1678289167828917,0.07005627789637105,0.09884994523548742,,,50000.0,2151.0
ecg_v1,0.6,0.05,0.12,0.0,361.0,1790.0,4792.0,43057.0,0.929943722103629,0.03991348362209289,0.1678289167828917,0.07005627789637105,0.09884994523548742,,,50000.0,2151.0
ecg_v1,0.65,0.05,0.12,0.0,361.0,1790.0,4792.0,43057.0,0.929943722103629,0.03991348362209289,0.1678289167828917,0.07005627789637105,0.09884994523548742,,,50000.0,2151.0
ecg_v1,0.7,0.05,0.12,0.0,361.0,1790.0,4792.0,43057.0,0.929943722103629,0.03991348362209289,0.1678289167828917,0.07005627789637105,0.09884994523548742,,,50000.0,2151.0
ecg_v1,0.6,0.1,0.12,0.0,366.0,1911.0,4787.0,42936.0,0.9289734135455074,0.0426115459228042,0.16073781291172595,0.07102658645449253,0.09851951547779274,,,50000.0,2277.0
ecg_v1,0.65,0.1,0.12,0.0,366.0,1911.0,4787.0,42936.0,0.9289734135455074,0.0426115459228042,0.16073781291172595,0.07102658645449253,0.09851951547779274,,,50000.0,2277.0
ecg_v1,0.7,0.1,0.12,0.0,366.0,1911.0,4787.0,42936.0,0.9289734135455074,0.0426115459228042,0.16073781291172595,0.07102658645449253,0.09851951547779274,,,50000.0,2277.0
ecg_v1,0.55,0.05,0.1,0.0,355.0,1722.0,4798.0,43125.0,0.9311080923733748,0.03839721720516422,0.17091959557053443,0.06889190762662527,0.09820193637621023,,,50000.0,2077.0
ecg_v1,0.6,0.05,0.1,0.0,355.0,1722.0,4798.0,43125.0,0.9311080923733748,0.03839721720516422,0.17091959557053443,0.06889190762662527,0.09820193637621023,,,50000.0,2077.0
ecg_v1,0.65,0.05,0.1,0.0,355.0,1722.0,4798.0,43125.0,0.9311080923733748,0.03839721720516422,0.17091959557053443,0.06889190762662527,0.09820193637621023,,,50000.0,2077.0
ecg_v1,0.7,0.05,0.1,0.0,355.0,1722.0,4798.0,43125.0,0.9311080923733748,0.03839721720516422,0.17091959557053443,0.06889190762662527,0.09820193637621023,,,50000.0,2077.0
ecg_v1,0.55,0.1,0.12,0.0,364.0,1913.0,4789.0,42934.0,0.9293615369687561,0.04265614199389034,0.1598594642072903,0.07063846303124394,0.09798115746971736,,,50000.0,2277.0
ecg_v1,0.55,0.1,0.1,0.0,348.0,1847.0,4805.0,43000.0,0.9324665243547449,0.04118447164804781,0.15854214123006835,0.06753347564525519,0.09471965160587915,,,50000.0,2195.0
ecg_v1,0.6,0.1,0.1,0.0,347.0,1848.0,4806.0,42999.0,0.9326605860663691,0.041206769683590876,0.1580865603644647,0.0673394139336309,0.09444746869896571,,,50000.0,2195.0
